nID_1_GP,nID_1_PP,nID_2_GP,nID_2_PP,nID_3_GP,nID_3_PP,nID_4_GP,nID_4_PP,nID_5_GP,nID_5_PP,nID_6_GP,nID_6_PP,nID_7_GP,nID_7_PP,nID_8_GP,nID_8_PP,nID_9_GP,nID_9_PP,nID_10_GP,nID_10_PP,nID_11_GP,nID_11_PP,nID_12_GP,nID_12_PP,nID_13_GP,nID_13_PP,nID_14_GP,nID_14_PP,nID_15_GP,nID_15_PP,nID_16_GP,nID_16_PP,nID_17_GP,nID_17_PP,nID_18_GP,nID_18_PP,nID_19_GP,nID_19_PP,nID_20_GP,nID_20_PP,GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2052,0,2044,0,1656,0,2440,0,2678,0,1418,0,2422,0,1674,0,2057,0,2039,0,2048,0,2503,0,512,512,488,512,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2049,0,2040,0,1657,0,2439,0,2677,0,1420,0,2421,0,1675,0,2051,0,2032,0,2048,0,2503,0,512,512,489,510,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2047,0,2037,0,1659,0,2437,0,2673,0,1425,0,2419,0,1677,0,2046,0,2026,0,2048,0,2503,0,512,512,489,512,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2044,0,2034,0,1662,0,2433,0,2666,0,1432,0,2416,0,1681,0,2040,0,2020,0,2048,0,2503,0,512,512,489,510,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2041,0,2031,0,1666,0,2430,0,2657,0,1439,0,2411,0,1685,0,2034,0,2014,0,2048,0,2503,0,512,512,488,513,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2039,0,2028,0,1671,0,2431,0,2646,0,1437,0,2405,0,1683,0,2028,0,2008,0,2048,0,2503,0,512,512,489,516,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2038,0,2025,0,1678,0,2437,0,2632,0,1424,0,2398,0,1677,0,2023,0,2002,0,2048,0,2503,0,512,512,487,520,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2037,0,2021,0,1685,0,2447,0,2617,0,1403,0,2390,0,1666,0,2017,0,1996,0,2048,0,2503,0,512,512,491,521,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2038,0,2017,0,1694,0,2461,0,2600,0,1374,0,2382,0,1651,0,2013,0,1991,0,2048,0,2503,0,512,512,484,518,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2039,0,2013,0,1702,0,2476,0,2582,0,1341,0,2372,0,1633,0,2008,0,1985,0,2048,0,2503,0,512,514,485,513,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2037,0,2006,0,1712,0,2493,0,2562,0,1305,0,2362,0,1614,0,1998,0,1973,0,2048,0,2503,0,512,518,487,509,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2032,0,1995,0,1721,0,2511,0,2543,0,1268,0,2352,0,1594,0,1981,0,1953,0,2048,0,2503,0,512,522,497,500,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2028,0,1985,0,1730,0,2527,0,2524,0,1231,0,2342,0,1575,0,1964,0,1935,0,2048,0,2503,0,510,524,488,493,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2026,0,1977,0,1739,0,2543,0,2506,0,1196,0,2326,0,1562,0,1955,0,1922,0,2048,0,2503,0,510,529,488,482,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2020,0,1966,0,1748,0,2557,0,2489,0,1166,0,2318,0,1546,0,1936,0,1902,0,2048,0,2503,0,515,532,469,503,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2015,0,1958,0,1755,0,2569,0,2471,0,1143,0,2325,0,1517,0,1925,0,1888,0,2048,0,2503,0,515,532,495,480,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2017,0,1955,0,1761,0,2578,0,2459,0,1122,0,2319,0,1506,0,1923,0,1884,0,2048,0,2503,0,514,530,474,524,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2021,0,1956,0,1765,0,2585,0,2451,0,1107,0,2311,0,1501,0,1928,0,1888,0,2048,0,2503,0,515,527,481,500,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2027,0,1960,0,1768,0,2589,0,2445,0,1100,0,2311,0,1493,0,1938,0,1897,0,2048,0,2503,0,515,524,490,519,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2032,0,1965,0,1768,0,2589,0,2443,0,1098,0,2311,0,1492,0,1948,0,1906,0,2048,0,2503,0,517,522,494,500,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2035,0,1970,0,1767,0,2587,0,2445,0,1105,0,2318,0,1489,0,1955,0,1914,0,2048,0,2503,0,518,519,498,517,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2039,0,1976,0,1763,0,2582,0,2451,0,1117,0,2325,0,1492,0,1966,0,1926,0,2048,0,2503,0,519,515,501,524,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2044,0,1984,0,1758,0,2574,0,2460,0,1136,0,2333,0,1499,0,1980,0,1942,0,2048,0,2503,0,515,513,510,515,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2047,0,1991,0,1751,0,2563,0,2478,0,1155,0,2329,0,1524,0,1988,0,1953,0,2048,0,2503,0,512,511,501,516,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2048,0,1996,0,1744,0,2550,0,2496,0,1182,0,2328,0,1548,0,1997,0,1963,0,2048,0,2503,0,510,511,510,532,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2046,0,2000,0,1735,0,2536,0,2515,0,1213,0,2331,0,1571,0,1999,0,1968,0,2048,0,2503,0,512,510,500,525,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2046,0,2006,0,1726,0,2519,0,2533,0,1249,0,2347,0,1584,0,2005,0,1976,0,2048,0,2503,0,509,509,504,507,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2046,0,2012,0,1716,0,2502,0,2555,0,1284,0,2348,0,1613,0,2012,0,1986,0,2048,0,2503,0,507,511,499,520,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2040,0,2012,0,1707,0,2485,0,2576,0,1319,0,2352,0,1639,0,2009,0,1985,0,2048,0,2503,0,509,512,487,521,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2038,0,2015,0,1698,0,2468,0,2593,0,1356,0,2368,0,1651,0,2010,0,1988,0,2048,0,2503,0,507,511,485,511,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2039,0,2020,0,1689,0,2453,0,2613,0,1385,0,2371,0,1674,0,2018,0,1996,0,2048,0,2503,0,506,510,489,498,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2041,0,2026,0,1682,0,2442,0,2630,0,1409,0,2377,0,1690,0,2026,0,2005,0,2048,0,2503,0,506,511,488,492,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2039,0,2027,0,1675,0,2433,0,2645,0,1427,0,2384,0,1699,0,2028,0,2008,0,2048,0,2503,0,505,512,480,503,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2040,0,2030,0,1669,0,2430,0,2658,0,1433,0,2388,0,1706,0,2031,0,2011,0,2048,0,2503,0,506,513,483,499,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2042,0,2032,0,1664,0,2431,0,2667,0,1431,0,2396,0,1701,0,2034,0,2014,0,2048,0,2503,0,507,513,472,484,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2045,0,2035,0,1660,0,2435,0,2674,0,1424,0,2403,0,1694,0,2040,0,2020,0,2048,0,2503,0,509,514,488,560,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2045,0,2036,0,1658,0,2438,0,2677,0,1420,0,2412,0,1685,0,2042,0,2023,0,2048,0,2503,0,520,509,446,568,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2057,0,2049,0,1656,0,2440,0,2671,0,1425,0,2446,0,1650,0,2067,0,2049,0,2048,0,2503,0,515,501,476,589,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2074,0,2065,0,1657,0,2439,0,2674,0,1421,0,2430,0,1666,0,2100,0,2081,0,2048,0,2503,0,513,492,450,529,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2092,0,2082,0,1659,0,2437,0,2671,0,1423,0,2422,0,1674,0,2136,0,2116,0,2048,0,2503,0,513,492,523,556,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2095,0,2085,0,1663,0,2434,0,2664,0,1430,0,2418,0,1677,0,2142,0,2122,0,2048,0,2503,0,513,494,500,537,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2095,0,2085,0,1666,0,2430,0,2657,0,1439,0,2414,0,1682,0,2142,0,2122,0,2048,0,2503,0,514,494,492,501,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2098,0,2087,0,1665,0,2425,0,2658,0,1451,0,2419,0,1685,0,2148,0,2128,0,2048,0,2503,0,517,495,488,470,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2099,0,2086,0,1659,0,2418,0,2668,0,1468,0,2434,0,1683,0,2150,0,2129,0,2048,0,2503,0,520,494,489,468,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2105,0,2089,0,1649,0,2411,0,2686,0,1486,0,2454,0,1682,0,2160,0,2139,0,2048,0,2503,0,519,496,478,470,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2105,0,2084,0,1635,0,2402,0,2716,0,1502,0,2466,0,1693,0,2158,0,2136,0,2048,0,2503,0,512,501,510,488,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2101,0,2075,0,1620,0,2394,0,2755,0,1514,0,2463,0,1724,0,2147,0,2124,0,2048,0,2503,0,507,505,501,495,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2098,0,2067,0,1603,0,2384,0,2795,0,1530,0,2467,0,1749,0,2140,0,2115,0,2048,0,2503,0,505,506,512,507,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2101,0,2064,0,1585,0,2375,0,2834,0,1547,0,2481,0,1765,0,2143,0,2115,0,2048,0,2503,0,505,504,477,529,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2108,0,2065,0,1569,0,2366,0,2871,0,1566,0,2500,0,1775,0,2154,0,2125,0,2048,0,2503,0,502,504,480,522,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2112,0,2063,0,1553,0,2357,0,2908,0,1582,0,2510,0,1794,0,2160,0,2127,0,2048,0,2503,0,505,504,462,537,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2115,0,2061,0,1539,0,2348,0,2935,0,1602,0,2535,0,1793,0,2164,0,2130,0,2048,0,2503,0,513,505,462,517,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2116,0,2059,0,1527,0,2341,0,2955,0,1623,0,2573,0,1777,0,2165,0,2128,0,2048,0,2503,0,514,506,477,526,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2118,0,2056,0,1518,0,2335,0,2975,0,1636,0,2587,0,1780,0,2166,0,2127,0,2048,0,2503,0,512,509,494,521,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2115,0,2050,0,1511,0,2331,0,2990,0,1644,0,2589,0,1791,0,2158,0,2118,0,2048,0,2503,0,511,510,497,501,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2114,0,2047,0,1507,0,2328,0,2998,0,1649,0,2591,0,1797,0,2155,0,2114,0,2048,0,2503,0,513,509,496,502,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2116,0,2049,0,1507,0,2328,0,3000,0,1651,0,2598,0,1791,0,2160,0,2118,0,2048,0,2503,0,515,506,483,495,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2120,0,2055,0,1509,0,2329,0,2993,0,1649,0,2601,0,1784,0,2169,0,2128,0,2048,0,2503,0,517,509,492,504,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2114,0,2051,0,1514,0,2333,0,2980,0,1644,0,2601,0,1774,0,2157,0,2117,0,2048,0,2503,0,517,511,497,497,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2108,0,2048,0,1522,0,2338,0,2962,0,1634,0,2591,0,1769,0,2147,0,2109,0,2048,0,2503,0,517,513,499,511,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2103,0,2047,0,1533,0,2345,0,2939,0,1620,0,2578,0,1761,0,2137,0,2102,0,2048,0,2503,0,515,515,504,496,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2096,0,2044,0,1546,0,2352,0,2912,0,1602,0,2557,0,1759,0,2126,0,2092,0,2048,0,2503,0,512,517,509,506,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2089,0,2043,0,1560,0,2361,0,2882,0,1582,0,2531,0,1759,0,2115,0,2084,0,2048,0,2503,0,511,515,497,517,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2088,0,2048,0,1577,0,2370,0,2847,0,1563,0,2509,0,1752,0,2116,0,2087,0,2048,0,2503,0,512,514,494,515,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2086,0,2052,0,1594,0,2380,0,2810,0,1543,0,2492,0,1739,0,2114,0,2088,0,2048,0,2503,0,513,514,488,517,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2082,0,2054,0,1611,0,2389,0,2773,0,1524,0,2475,0,1726,0,2108,0,2084,0,2048,0,2503,0,512,514,489,527,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2078,0,2055,0,1628,0,2398,0,2738,0,1505,0,2454,0,1719,0,2102,0,2080,0,2048,0,2503,0,511,514,493,528,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2074,0,2055,0,1643,0,2407,0,2707,0,1487,0,2434,0,1713,0,2097,0,2075,0,2048,0,2503,0,510,513,487,522,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2072,0,2057,0,1654,0,2414,0,2683,0,1470,0,2418,0,1707,0,2094,0,2073,0,2048,0,2503,0,509,513,486,523,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2069,0,2057,0,1663,0,2421,0,2666,0,1454,0,2406,0,1703,0,2088,0,2068,0,2048,0,2503,0,507,512,484,527,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2066,0,2056,0,1666,0,2427,0,2661,0,1440,0,2396,0,1702,0,2085,0,2065,0,2048,0,2503,0,506,509,486,523,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2068,0,2058,0,1665,0,2432,0,2665,0,1429,0,2395,0,1700,0,2089,0,2069,0,2048,0,2503,0,511,506,479,541,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2070,0,2060,0,1661,0,2436,0,2668,0,1426,0,2414,0,1681,0,2093,0,2073,0,2048,0,2503,0,510,504,492,455,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2070,0,2061,0,1658,0,2438,0,2675,0,1420,0,2414,0,1681,0,2093,0,2074,0,2048,0,2503,0,514,504,489,428,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2067,0,2058,0,1657,0,2440,0,2676,0,1420,0,2428,0,1668,0,2087,0,2068,0,2048,0,2503,0,525,511,439,474,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2053,0,2045,0,1656,0,2440,0,2666,0,1430,0,2461,0,1635,0,2060,0,2042,0,2048,0,2503,0,519,518,491,464,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2039,0,2030,0,1657,0,2439,0,2671,0,1426,0,2442,0,1654,0,2031,0,2012,0,2048,0,2503,0,515,520,512,498,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2034,0,2024,0,1659,0,2437,0,2671,0,1427,0,2428,0,1668,0,2020,0,2000,0,2048,0,2503,0,513,523,477,456,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2026,0,2016,0,1662,0,2433,0,2666,0,1432,0,2419,0,1678,0,2004,0,1984,0,2048,0,2503,0,512,528,513,484,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2015,0,2005,0,1666,0,2430,0,2657,0,1439,0,2411,0,1685,0,1981,0,1961,0,2048,0,2503,0,512,528,484,501,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2013,0,2002,0,1671,0,2431,0,2646,0,1437,0,2405,0,1683,0,1975,0,1955,0,2048,0,2503,0,511,524,479,553,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2018,0,2005,0,1678,0,2437,0,2632,0,1424,0,2395,0,1680,0,1983,0,1962,0,2048,0,2503,0,511,522,470,537,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2021,0,2005,0,1685,0,2447,0,2617,0,1403,0,2387,0,1669,0,1984,0,1963,0,2048,0,2503,0,511,520,497,542,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2025,0,2004,0,1694,0,2461,0,2600,0,1374,0,2379,0,1654,0,1987,0,1965,0,2048,0,2503,0,511,520,494,542,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2026,0,2000,0,1702,0,2476,0,2582,0,1341,0,2369,0,1636,0,1982,0,1959,0,2048,0,2503,0,509,519,492,515,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2029,0,1998,0,1712,0,2493,0,2564,0,1303,0,2353,0,1623,0,1981,0,1956,0,2048,0,2503,0,506,519,493,511,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2031,0,1994,0,1721,0,2511,0,2548,0,1263,0,2334,0,1612,0,1978,0,1950,0,2048,0,2503,0,504,520,499,488,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2031,0,1988,0,1730,0,2527,0,2531,0,1224,0,2318,0,1599,0,1971,0,1942,0,2048,0,2503,0,504,524,485,467,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2026,0,1977,0,1739,0,2543,0,2512,0,1190,0,2308,0,1580,0,1955,0,1922,0,2048,0,2503,0,510,522,483,438,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2032,0,1978,0,1748,0,2557,0,2489,0,1166,0,2318,0,1546,0,1959,0,1925,0,2048,0,2503,0,515,519,467,526,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2037,0,1980,0,1755,0,2569,0,2471,0,1143,0,2325,0,1517,0,1968,0,1931,0,2048,0,2503,0,513,517,478,495,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2042,0,1980,0,1761,0,2578,0,2461,0,1120,0,2313,0,1512,0,1973,0,1934,0,2048,0,2503,0,512,515,493,499,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2046,0,1981,0,1765,0,2585,0,2452,0,1106,0,2305,0,1507,0,1978,0,1938,0,2048,0,2503,0,513,513,503,506,0,0,0,0,
1498,0,2518,0,1845,0,2248,0,2381,0,1712,0,2048,0,2048,0,2051,0,1984,0,1768,0,2589,0,2447,0,1098,0,2305,0,1499,0,1985,0,1944,0,2048,0,2503,0,514,513,494,509,0,0,0,0,
